nodes,source,target
"0,1",0,1
"0,2",0,2
"0,3",0,3
"0,4",0,4
"0,5",0,5
"1,0",1,0
"1,2",1,2
"1,4",1,4
"1,5",1,5
"1,15",1,15
"2,0",2,0
"2,11",2,11
"2,12",2,12
"2,13",2,13
"2,14",2,14
"3,63",3,63
"3,64",3,64
"3,65",3,65
"3,66",3,66
"3,67",3,67
"4,7",4,7
"4,16",4,16
"4,17",4,17
"4,18",4,18
"4,19",4,19
"5,6",5,6
"5,7",5,7
"5,8",5,8
"5,9",5,9
"5,10",5,10
"6,5",6,5
"6,7",6,7
"6,8",6,8
"6,9",6,9
"6,20",6,20
"7,5",7,5
"7,8",7,8
"7,9",7,9
"7,30",7,30
"7,290",7,290
"8,13",8,13
"8,21",8,21
"8,22",8,22
"8,23",8,23
"8,24",8,24
"10,5",10,5
"10,7",10,7
"10,137",10,137
"10,138",10,138
"10,139",10,139
"11,6",11,6
"11,9",11,9
"11,20",11,20
"11,25",11,25
"11,26",11,26
"12,260",12,260
"12,261",12,261
"12,262",12,262
"12,263",12,263
"12,264",12,264
"13,20",13,20
"13,21",13,21
"13,23",13,23
"13,140",13,140
"13,141",13,141
"14,13",14,13
"14,21",14,21
"14,27",14,27
"14,28",14,28
"14,29",14,29
"15,68",15,68
"15,69",15,69
"15,70",15,70
"15,71",15,71
"15,72",15,72
"16,4",16,4
"16,7",16,7
"16,19",16,19
"16,73",16,73
"16,75",16,75
"17,6",17,6
"17,7",17,7
"17,8",17,8
"17,30",17,30
"17,31",17,31
"18,32",18,32
"18,33",18,33
"18,34",18,34
"18,35",18,35
"18,36",18,36
"19,4",19,4
"19,16",19,16
"19,73",19,73
"19,74",19,74
"19,75",19,75
"20,6",20,6
"20,7",20,7
"20,8",20,8
"20,23",20,23
"20,30",20,30
"21,13",21,13
"21,23",21,23
"21,28",21,28
"21,77",21,77
"21,164",21,164
"22,8",22,8
"22,23",22,23
"22,37",22,37
"22,38",22,38
"22,39",22,39
"23,8",23,8
"23,13",23,13
"23,20",23,20
"23,111",23,111
"23,142",23,142
"24,40",24,40
"24,41",24,41
"24,42",24,42
"24,43",24,43
"24,44",24,44
"25,11",25,11
"25,45",25,45
"25,46",25,46
"25,47",25,47
"26,11",26,11
"26,265",26,265
"26,266",26,266
"26,267",26,267
"26,268",26,268
"27,13",27,13
"27,21",27,21
"27,76",27,76
"27,77",27,77
"27,78",27,78
"28,20",28,20
"28,79",28,79
"28,80",28,80
"28,81",28,81
"28,82",28,82
"29,143",29,143
"29,144",29,144
"29,145",29,145
"29,146",29,146
"29,147",29,147
"30,8",30,8
"30,9",30,9
"30,48",30,48
"30,49",30,49
"30,50",30,50
"31,9",31,9
"31,17",31,17
"31,83",31,83
"31,84",31,84
"31,85",31,85
"32,18",32,18
"32,51",32,51
"32,148",32,148
"32,149",32,149
"32,150",32,150
"33,56",33,56
"33,93",33,93
"33,94",33,94
"33,95",33,95
"33,151",33,151
"34,18",34,18
"34,32",34,32
"34,51",34,51
"34,52",34,52
"34,53",34,53
"35,18",35,18
"35,33",35,33
"35,54",35,54
"35,55",35,55
"35,56",35,56
"36,18",36,18
"36,152",36,152
"36,153",36,153
"36,154",36,154
"36,155",36,155
"37,8",37,8
"37,22",37,22
"37,23",37,23
"37,97",37,97
