,Source,Target,Label
0,0,6,0
1,0,7,0
2,0,8,0
3,0,9,0
4,0,10,0
5,0,11,0
6,0,12,0
7,0,13,0
8,0,14,0
9,0,15,0
10,0,16,0
11,0,17,0
12,0,18,0
13,0,19,0
14,0,63,0
15,0,64,0
16,0,65,0
17,0,66,0
18,0,67,0
19,0,73,0
20,0,74,0
21,0,75,0
22,0,109,0
23,0,110,0
24,0,139,0
25,0,154,0
26,0,180,0
27,0,282,0
28,0,431,0
29,0,608,0
30,0,612,0
31,0,629,0
32,0,630,0
33,1,3,0
34,1,6,0
35,1,7,0
36,1,8,0
37,1,9,0
38,1,10,0
39,1,11,0
40,1,12,0
41,1,13,0
42,1,14,0
43,1,16,0
44,1,17,0
45,1,18,0
46,1,19,0
47,1,68,0
48,1,69,0
49,1,70,0
50,1,71,0
51,1,72,0
52,1,73,0
53,1,74,0
54,1,75,0
55,1,105,0
56,1,107,0
57,1,109,0
58,1,110,0
59,1,139,0
60,1,154,0
61,1,178,0
62,1,180,0
63,1,282,0
64,1,299,0
65,1,301,0
66,1,431,0
67,1,508,0
68,1,509,0
69,1,608,0
70,1,612,0
71,1,629,0
72,1,630,0
73,2,3,0
74,2,4,0
75,2,5,0
76,2,6,0
77,2,8,0
78,2,9,0
79,2,15,0
80,2,20,0
81,2,21,0
82,2,23,0
83,2,25,0
84,2,26,0
85,2,27,0
86,2,28,0
87,2,29,0
88,2,45,0
89,2,46,0
90,2,47,0
91,2,57,0
92,2,58,0
93,2,59,0
94,2,79,0
95,2,88,0
96,2,103,0
97,2,140,0
98,2,141,0
99,2,183,0
100,2,196,0
101,2,198,0
102,2,199,0
103,2,232,0
104,2,254,0
105,2,260,0
106,2,261,0
107,2,262,0
108,2,263,0
109,2,264,0
110,2,265,0
111,2,266,0
112,2,267,0
113,2,357,0
114,2,402,0
115,2,451,0
116,2,473,0
117,2,500,0
118,2,501,0
119,2,545,0
120,2,546,0
121,2,556,0
122,2,632,0
123,2,666,0
124,3,4,0
125,3,5,0
126,3,30,0
127,3,97,0
128,3,98,0
129,3,99,0
130,3,100,0
131,3,101,0
132,3,118,0
133,3,175,0
134,3,177,0
135,3,279,0
136,3,280,0
137,3,281,0
138,3,298,0
139,3,307,0
140,3,308,0
141,3,345,0
142,3,366,0
143,3,372,0
144,3,388,0
145,3,389,0
