,Source,Target,Label
0,0,1,1
2,0,3,1
4,0,5,1
6,1,2,1
8,1,5,1
10,2,0,1
13,2,13,1
15,3,63,1
17,3,65,1
19,3,67,1
21,4,16,1
23,4,18,1
25,5,6,1
27,5,8,1
29,5,10,1
31,6,7,1
33,6,9,1
35,7,5,1
37,7,9,1
39,7,290,1
41,8,21,1
43,8,23,1
45,10,5,1
47,10,137,1
49,10,139,1
51,11,9,1
53,11,25,1
55,12,260,1
57,12,262,1
59,12,264,1
61,13,21,1
63,13,140,1
65,14,13,1
67,14,27,1
70,15,68,1
72,15,70,1
74,15,72,1
76,16,7,1
78,16,73,1
80,17,6,1
82,17,8,1
84,17,31,1
86,18,33,1
88,18,35,1
90,19,4,1
92,19,73,1
94,19,75,1
96,20,7,1
98,20,23,1
100,21,13,1
102,21,28,1
104,21,164,1
106,22,23,1
108,22,38,1
110,23,8,1
112,23,20,1
114,23,142,1
116,24,41,1
118,24,43,1
120,25,11,1
122,25,46,1
124,26,11,1
126,26,266,1
128,26,268,1
130,27,21,1
132,27,77,1
134,28,20,1
136,28,80,1
138,28,82,1
140,29,144,1
142,29,146,1
144,30,8,1
146,30,48,1
148,30,50,1
150,31,17,1
152,31,84,1
154,32,18,1
156,32,148,1
158,32,150,1
160,33,93,1
162,33,95,1
164,34,18,1
166,34,51,1
168,34,53,1
170,35,33,1
172,35,55,1
174,36,18,1
176,36,153,1
178,36,155,1
180,37,22,1
182,37,97,1
184,38,22,1
186,38,271,1
188,38,273,1
190,39,37,1
192,39,86,1
194,40,8,1
196,40,41,1
198,40,43,1
200,41,40,1
202,41,43,1
204,42,8,1
206,42,40,1
208,42,43,1
210,43,40,1
212,43,42,1
214,44,24,1
216,44,41,1
218,44,43,1
220,45,25,1
222,45,59,1
224,46,11,1
226,46,45,1
228,46,88,1
230,47,25,1
232,47,58,1
234,48,30,1
236,48,156,1
238,48,158,1
240,49,48,1
242,49,157,1
244,50,9,1
246,50,49,1
248,50,90,1
250,51,32,1
252,51,154,1
254,52,34,1
256,52,276,1
258,52,278,1
260,53,54,1
262,53,61,1
264,54,35,1
266,54,60,1
268,54,159,1
270,55,53,1
272,55,91,1
274,56,33,1
276,56,94,1
278,56,96,1
280,57,25,1
282,57,59,1
284,58,11,1
286,58,45,1
288,58,59,1
290,59,25,1
292,59,46,1
294,60,53,1
296,60,159,1
298,60,161,1
300,61,53,1
302,61,162,1
304,62,35,1
306,62,54,1
308,62,159,1
310,63,64,1
312,63,98,1
314,64,63,1
316,64,98,1
318,64,280,1
320,65,66,1
322,65,100,1
324,66,63,1
326,66,65,1
328,66,419,1
330,67,63,1
332,67,118,1
334,69,15,1
336,69,105,1
338,69,420,1
340,70,71,1
342,70,103,1
344,71,15,1
346,71,102,1
348,71,104,1
350,72,69,1
352,72,106,1
354,73,4,1
356,73,19,1
358,73,108,1
360,74,16,1
362,74,73,1
364,75,4,1
366,75,19,1
368,75,110,1
370,76,283,1
372,76,285,1
374,77,28,1
376,77,423,1
378,77,425,1
380,78,23,1
382,78,112,1
384,79,13,1
386,79,81,1
388,79,164,1
390,80,28,1
392,80,97,1
394,81,28,1
397,81,288,1
400,82,290,1
402,82,292,1
404,83,17,1
406,83,165,1
408,83,167,1
410,84,31,1
412,84,427,1
414,85,17,1
416,85,168,1
418,85,170,1
420,86,38,1
422,86,87,1
424,87,37,1
426,87,86,1
428,87,115,1
430,88,25,1
432,88,46,1
434,89,30,1
436,89,50,1
438,89,294,1
440,90,50,1
442,90,172,1
444,91,35,1
446,91,92,1
448,91,296,1
450,92,55,1
452,92,295,1
454,93,33,1
456,93,94,1
458,93,297,1
460,95,56,1
462,95,94,1
464,96,33,1
466,96,94,1
468,96,174,1
470,97,63,1
472,97,116,1
474,98,8,1
476,98,63,1
478,98,119,1
480,99,63,1
482,99,176,1
484,100,63,1
486,100,99,1
488,100,430,1
490,101,65,1
492,101,100,1
494,102,70,1
496,102,103,1
498,102,179,1
500,103,28,1
502,103,120,1
504,104,71,1
506,104,178,1
508,104,299,1
510,105,69,1
512,105,106,1
514,106,69,1
516,106,105,1
518,106,134,1
520,107,72,1
523,107,301,1
525,108,124,1
527,108,126,1
529,109,4,1
531,109,19,1
533,109,180,1
535,110,75,1
537,110,180,1
539,111,20,1
541,111,112,1
543,111,182,1
545,112,20,1
547,112,182,1
549,113,78,1
551,113,128,1
553,113,130,1
555,114,432,1
557,114,434,1
559,115,8,1
561,115,114,1
563,115,303,1
565,116,56,1
567,116,97,1
569,117,97,1
571,117,131,1
573,117,133,1
575,118,30,1
577,118,98,1
579,119,98,1
581,119,184,1
583,119,186,1
586,120,437,1
588,120,439,1
590,121,285,1
592,121,305,1
594,122,69,1
596,122,105,1
598,122,134,1
600,123,108,1
602,123,125,1
604,124,123,1
606,124,126,1
608,124,135,1
610,125,124,1
612,125,135,1
614,126,124,1
616,126,127,1
618,126,440,1
620,127,125,1
622,127,135,1
624,128,78,1
626,128,129,1
628,128,187,1
630,129,113,1
632,129,130,1
634,130,78,1
636,130,128,1
638,130,441,1
640,131,100,1
642,131,307,1
644,132,117,1
646,132,189,1
648,132,191,1
650,133,190,1
652,133,193,1
654,134,72,1
656,134,106,1
658,134,195,1
660,135,127,1
662,135,196,1
664,136,124,1
666,136,126,1
668,136,135,1
670,137,10,1
672,137,139,1
674,139,5,1
676,139,9,1
678,139,137,1
680,140,141,1
682,140,199,1
684,141,13,1
686,141,140,1
689,142,20,1
691,142,201,1
693,142,203,1
695,143,144,1
697,143,146,1
699,144,29,1
701,144,145,1
703,144,147,1
705,145,143,1
707,145,309,1
709,146,29,1
711,146,147,1
